"id","name","extra_gene","synonyms","url"
"PPM1D","protein phosphatase, Mg2+/Mn2+ dependent 1D","PPM1D","8493,ENSG00000170836,O15297,PPM1D","https://www.ncbi.nlm.nih.gov/gene/?term=8493"
"MLLT4","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","MLLT4","",""
"MALT1","mucosa associated lymphoid tissue lymphoma translocation gene 1","MALT1","10892,ENSG00000172175,MALT1,MLT,Q9UDY8","https://www.ncbi.nlm.nih.gov/gene/?term=10892"
"MLLT6","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","MLLT6","",""
"P2RY8","purinergic receptor P2Y, G-protein coupled, 8","P2RY8","","https://www.ncbi.nlm.nih.gov/gene/?term=286530"
"DNAJB1","DnaJ heat shock protein family (Hsp40) member B1","DNAJB1","3337,DNAJB1,ENSG00000132002,HSPF1,P25685","https://www.ncbi.nlm.nih.gov/gene/?term=3337"
"ZNRF3","zinc and ring finger 3","ZNRF3","84133,ENSG00000183579,Q9ULT6,ZNRF3","https://www.ncbi.nlm.nih.gov/gene/?term=84133"
"FIP1L1","FIP1 like 1 (S. cerevisiae)","FIP1L1","81608,ENSG00000145216,FIP1L1,Q6UN15","https://www.ncbi.nlm.nih.gov/gene/?term=81608"
"IL21R","interleukin 21 receptor","IL21R","50615,ENSG00000103522,IL21R,Q9HBE5","https://www.ncbi.nlm.nih.gov/gene/?term=50615"
"IGF2BP2","insulin like growth factor 2 mRNA binding protein 2","IGF2BP2","10644,ENSG00000073792,IGF2BP2,Q9Y6M1","https://www.ncbi.nlm.nih.gov/gene/?term=10644"
"SH2B3","SH2B adaptor protein 3","SH2B3","","https://www.ncbi.nlm.nih.gov/gene/?term=10019"
"JAZF1","juxtaposed with another zinc finger gene 1","JAZF1","221895,ENSG00000153814,JAZF1,Q86VZ6","https://www.ncbi.nlm.nih.gov/gene/?term=221895"
"NTRK1","neurotrophic tyrosine kinase, receptor, type 1","NTRK1","4914,ENSG00000198400,NTRK1,P04629","https://www.ncbi.nlm.nih.gov/gene/?term=4914"
"SMARCE1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1","SMARCE1","6605,ENSG00000073584,Q969G3,SMARCE1","https://www.ncbi.nlm.nih.gov/gene/?term=6605"
"KCNJ5","potassium inwardly-rectifying channel","KCNJ5","",""
"PRRX1","paired related homeobox 1","PRRX1","5396,ENSG00000116132,P54821,PMX1,PRRX1","https://www.ncbi.nlm.nih.gov/gene/?term=5396"
"CNBP","CCHC-type zinc finger, nucleic acid binding protein","CNBP","7555,CNBP,DM2,ENSG00000169714,P62633,ZNF9","https://www.ncbi.nlm.nih.gov/gene/?term=7555"
"MACC1","MET transcriptional regulator MACC1","MACC1","346389,ENSG00000183742,MACC1,Q6ZN28","https://www.ncbi.nlm.nih.gov/gene/?term=346389"
"NTRK3","neurotrophic tyrosine kinase, receptor, type 3","NTRK3","4916,ENSG00000140538,NTRK3,Q16288","https://www.ncbi.nlm.nih.gov/gene/?term=4916"
"PTPN11","protein tyrosine phosphatase, non-receptor type 11","PTPN11","5781,ENSG00000179295,NS1,PTPN11,Q06124","https://www.ncbi.nlm.nih.gov/gene/?term=5781"
"KLF4","Kruppel-like factor 4","KLF4","9314,ENSG00000136826,KLF4,O43474","https://www.ncbi.nlm.nih.gov/gene/?term=9314"
"PTPN13","protein tyrosine phosphatase, non-receptor type 13","PTPN13","5783,ENSG00000163629,PTPN13,Q12923","https://www.ncbi.nlm.nih.gov/gene/?term=5783"
"MTOR","mechanistic target of rapamycin","MTOR","2475,ENSG00000198793,FRAP,FRAP1,FRAP2,MTOR,P42345","https://www.ncbi.nlm.nih.gov/gene/?term=2475"
"PML","promyelocytic leukemia","PML","5371,ENSG00000140464,P29590,PML","https://www.ncbi.nlm.nih.gov/gene/?term=5371"
"TBX3","T-box 3","TBX3","6926,ENSG00000135111,O15119,TBX3,UMS","https://www.ncbi.nlm.nih.gov/gene/?term=6926"
"ASXL1","additional sex combs like 1","ASXL1","171023,ASXL1,ENSG00000171456,Q8IXJ9","https://www.ncbi.nlm.nih.gov/gene/?term=171023"
"KLF6","Kruppel-like factor 6","KLF6","1316,BCD1,COPEB,ENSG00000067082,KLF6,Q99612,ST12","https://www.ncbi.nlm.nih.gov/gene/?term=1316"
"NIN","ninein (GSK3B interacting protein)","NIN","51199,ENSG00000100503,NIN,Q8N4C6","https://www.ncbi.nlm.nih.gov/gene/?term=51199"
"APC","adenomatous polyposis of the colon gene","APC","","https://www.ncbi.nlm.nih.gov/gene/?term=324"
"POU2AF1","POU domain, class 2, associating factor 1 (OBF1)","POU2AF1","5450,ENSG00000110777,POU2AF1,Q16633","https://www.ncbi.nlm.nih.gov/gene/?term=5450"
"ASXL2","additional sex combs like 2, transcriptional regulator","ASXL2","55252,ASXL2,ENSG00000143970,Q76L83","https://www.ncbi.nlm.nih.gov/gene/?term=55252"
"EIF3E","eukaryotic translation initiation factor 3, subunit E","EIF3E","3646,EIF3E,EIF3S6,ENSG00000104408,INT6,P60228","https://www.ncbi.nlm.nih.gov/gene/?term=3646"
"PTPN6","protein tyrosine phosphatase, non-receptor type 6","PTPN6","5777,ENSG00000111679,P29350,PTPN6","https://www.ncbi.nlm.nih.gov/gene/?term=5777"
"BCOR","BCL6 corepressor","BCOR","54880,BCOR,ENSG00000183337,Q6W2J9","https://www.ncbi.nlm.nih.gov/gene/?term=54880"
"FCGR2B","Fc fragment of IgG, low affinity IIb, receptor for (CD32)","FCGR2B","2213,ENSG00000072694,FCG2,FCGR2,FCGR2B,P31994","https://www.ncbi.nlm.nih.gov/gene/?term=2213"
"TRIM33","tripartite motif-containing 33 (PTC7,TIF1G)","TRIM33","51592,ENSG00000197323,Q9UPN9,TRIM33","https://www.ncbi.nlm.nih.gov/gene/?term=51592"
"EIF4A2","eukaryotic translation initiation factor 4A, isoform 2","EIF4A2","1974,EIF4A2,EIF4F,ENSG00000156976,Q14240","https://www.ncbi.nlm.nih.gov/gene/?term=1974"
"SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","SMARCB1","6598,ENSG00000099956,Q12824,SMARCB1,SNF5L1","https://www.ncbi.nlm.nih.gov/gene/?term=6598"
"PRF1","perforin 1 (pore forming protein)","PRF1","5551,ENSG00000180644,P14222,PRF1","https://www.ncbi.nlm.nih.gov/gene/?term=5551"
"CBLC","Cas-Br-M (murine) ecotropic retroviral transforming sequence c","CBLC","23624,CBLC,ENSG00000142273,Q9ULV8","https://www.ncbi.nlm.nih.gov/gene/?term=23624"
"KEAP1","kelch like ECH associated protein 1","KEAP1","9817,ENSG00000079999,KEAP1,Q14145","https://www.ncbi.nlm.nih.gov/gene/?term=9817"
"CBLB","Cas-Br-M (murine) ecotropic retroviral transforming sequence b","CBLB","868,CBLB,ENSG00000114423,Q13191","https://www.ncbi.nlm.nih.gov/gene/?term=868"
"CCNC","cyclin C","CCNC","","https://www.ncbi.nlm.nih.gov/gene/?term=892"
"IKZF1","IKAROS family zinc finger 1","IKZF1","10320,ENSG00000185811,IKZF1,Q13422,ZNFN1A1","https://www.ncbi.nlm.nih.gov/gene/?term=10320"
"SOX2","SRY (sex determining region Y)-box 2","SOX2","6657,ENSG00000181449,P48431,SOX2","https://www.ncbi.nlm.nih.gov/gene/?term=6657"
"TCL1A","T-cell leukemia/lymphoma 1A","TCL1A","8115,ENSG00000100721,P56279,TCL1A","https://www.ncbi.nlm.nih.gov/gene/?term=8115"
"GOLGA5","golgi autoantigen, golgin subfamily a, 5  (PTC5)","GOLGA5","9950,ENSG00000066455,GOLGA5,Q8TBA6","https://www.ncbi.nlm.nih.gov/gene/?term=9950"
"HMGN2P46","high mobility group nucleosomal binding domain 2 pseudogene 46","HMGN2P46","","https://www.ncbi.nlm.nih.gov/gene/?term=283651"
"PPP2R1A","protein phosphatase 2, regulatory subunit A, alpha","PPP2R1A","5518,ENSG00000105568,P30153,PPP2R1A","https://www.ncbi.nlm.nih.gov/gene/?term=5518"
"CHEK2","CHK2 checkpoint homolog (S. pombe)","CHEK2","11200,CHEK2,ENSG00000183765,O96017,RAD53","https://www.ncbi.nlm.nih.gov/gene/?term=11200"
"KDR","vascular endothelial growth factor receptor 2","KDR","3791,ENSG00000128052,KDR,P35968","https://www.ncbi.nlm.nih.gov/gene/?term=3791"
"TRIM24","tripartite motif containing 24","TRIM24","8805,ENSG00000122779,O15164,TIF1,TRIM24","https://www.ncbi.nlm.nih.gov/gene/?term=8805"
"KAT7","lysine acetyltransferase 7","KAT7","11143,ENSG00000136504,KAT7,MYST2,O95251","https://www.ncbi.nlm.nih.gov/gene/?term=11143"
"TRIM27","tripartite motif-containing 27","TRIM27","5987,ENSG00000204713,P14373,RFP,TRIM27","https://www.ncbi.nlm.nih.gov/gene/?term=5987"
"B2M","beta-2-microglobulin","B2M","567,B2M,ENSG00000166710,P61769","https://www.ncbi.nlm.nih.gov/gene/?term=567"
"TP63","tumor protein p63","TP63","8626,ENSG00000073282,Q9H3D4,TP53CP,TP53L,TP63,TP73L","https://www.ncbi.nlm.nih.gov/gene/?term=8626"
"ACVR1","activin A receptor, type I","ACVR1","90,ACVR1,ACVRLK2,ENSG00000115170,Q04771","https://www.ncbi.nlm.nih.gov/gene/?term=90"
"SLC34A2","solute carrier family 34 (sodium phosphate), member 2","SLC34A2","10568,ENSG00000157765,O95436,SLC34A2","https://www.ncbi.nlm.nih.gov/gene/?term=10568"
"EPHA7","EPH receptor A7","EPHA7","2045,ENSG00000135333,EPHA7,Q15375","https://www.ncbi.nlm.nih.gov/gene/?term=2045"
"OMD","osteomodulin","OMD","4958,ENSG00000127083,OMD,Q99983","https://www.ncbi.nlm.nih.gov/gene/?term=4958"
"ACSL6","acyl-CoA synthetase long-chain family member 6","ACSL6","23305,ACSL6,ENSG00000164398,FACL6,Q9UKU0","https://www.ncbi.nlm.nih.gov/gene/?term=23305"
"EBF1","early B-cell factor 1","EBF1","1879,EBF,EBF1,ENSG00000164330,Q9UH73","https://www.ncbi.nlm.nih.gov/gene/?term=1879"
"ACSL3","acyl-CoA synthetase long-chain family member 3","ACSL3","2181,ACSL3,ENSG00000123983,FACL3,O95573","https://www.ncbi.nlm.nih.gov/gene/?term=2181"
"HLA-A","major histocompatibility complex, class I, A","HLA-A","3105,ENSG00000206503,HLA-A,P04439","https://www.ncbi.nlm.nih.gov/gene/?term=3105"
"HNF1A","HNF1 homeobox A","HNF1A","6927,ENSG00000135100,HNF1A,MODY3,TCF1","https://www.ncbi.nlm.nih.gov/gene/?term=6927"
"ANK1","ankyrin 1","ANK1","286,ANK,ANK1,ENSG00000029534,P16157","https://www.ncbi.nlm.nih.gov/gene/?term=286"
"CRNKL1","crooked neck pre-mRNA splicing factor 1","CRNKL1","51340,CRNKL1,ENSG00000101343,Q9BZJ0","https://www.ncbi.nlm.nih.gov/gene/?term=51340"
"RUNX1","runt-related transcription factor 1  (AML1)","RUNX1","861,AML1,CBFA2,ENSG00000159216,Q01196,RUNX1","https://www.ncbi.nlm.nih.gov/gene/?term=861"
"SFRP4","secreted frizzled related protein 4","SFRP4","6424,ENSG00000106483,Q6FHJ7,SFRP4","https://www.ncbi.nlm.nih.gov/gene/?term=6424"
"MDS2","myelodysplastic syndrome 2","MDS2","ENSG00000197880,MDS2,Q8NDY4","https://www.ncbi.nlm.nih.gov/gene/?term=259283"
"AKAP9","A kinase (PRKA) anchor protein (yotiao) 9","AKAP9","10142,AKAP350,AKAP450,AKAP9,CG-NAP,ENSG00000127914,HYPERION,KIAA0803,MU-RMS-40_16A,PRKA9,Q99996,YOTIAO","https://www.ncbi.nlm.nih.gov/gene/?term=10142"
"BTK","Bruton agammaglobulinemia tyrosine kinase","BTK","695,AGMX1,BTK,ENSG00000010671,IMD1,Q06187","https://www.ncbi.nlm.nih.gov/gene/?term=695"
"MTCP1","mature T-cell proliferation 1","MTCP1","100272147,CMC4,ENSG00000182712,MTCP1,MTCP1NB,P56277","https://www.ncbi.nlm.nih.gov/gene/?term=4515"
"BCORL1","BCL6 corepressor-like 1","BCORL1","63035,BCORL1,CXorf10,ENSG00000085185,Q5H9F3","https://www.ncbi.nlm.nih.gov/gene/?term=63035"
"EZR","ezrin","EZR","7430,ENSG00000092820,EZR,P15311,VIL2","https://www.ncbi.nlm.nih.gov/gene/?term=7430"
"TP53","tumor protein p53","TP53","7157,ENSG00000141510,P04637,TP53","https://www.ncbi.nlm.nih.gov/gene/?term=7157"
"EPHA3","EPH receptor A3","EPHA3","2042,ENSG00000044524,EPHA3,ETK,ETK1,P29320,TYRO4","https://www.ncbi.nlm.nih.gov/gene/?term=2042"
"SLC45A3","solute carrier family 45, member 3","SLC45A3","85414,ENSG00000158715,PCANAP2,PCANAP6,PCANAP8,Q96JT2,SLC45A3","https://www.ncbi.nlm.nih.gov/gene/?term=85414"
"SDC4","syndecan 4","SDC4","6385,ENSG00000124145,P31431,SDC4","https://www.ncbi.nlm.nih.gov/gene/?term=6385"
"EPAS1","endothelial PAS domain protein 1","EPAS1","2034,ENSG00000116016,EPAS1,Q99814","https://www.ncbi.nlm.nih.gov/gene/?term=2034"
"KLK2","kallikrein-related peptidase 2","KLK2","3817,ENSG00000167751,KLK2,P20151","https://www.ncbi.nlm.nih.gov/gene/?term=3817"
"PIK3R1","phosphoinositide-3-kinase, regulatory subunit 1 (alpha)","PIK3R1","5295,ENSG00000145675,P27986,PIK3R1","https://www.ncbi.nlm.nih.gov/gene/?term=5295"
"CD79B","CD79b molecule, immunoglobulin-associated beta","CD79B","974,CD79B,ENSG00000007312,IGB,P40259","https://www.ncbi.nlm.nih.gov/gene/?term=974"
"C2orf44","chromosome 2 open reading frame 44","C2orf44","80304,C2orf44,ENSG00000163026,Q9H6R7","https://www.ncbi.nlm.nih.gov/gene/?term=80304"
"CD79A","CD79a molecule, immunoglobulin-associated alpha","CD79A","973,CD79A,ENSG00000105369,IGA,P11912","https://www.ncbi.nlm.nih.gov/gene/?term=973"
"BRIP1","BRCA1 interacting protein C-terminal helicase 1","BRIP1","83990,BRIP1,ENSG00000136492,Q9BX63","https://www.ncbi.nlm.nih.gov/gene/?term=83990"
"PCBP1","poly(rC) binding protein 1","PCBP1","5093,ENSG00000169564,PCBP1,Q15365","https://www.ncbi.nlm.nih.gov/gene/?term=5093"
"HIST1H3B","histone cluster 1, H3b","HIST1H3B","8350,ENSG00000124693,H3FL,HIST1H3B,P68431","https://www.ncbi.nlm.nih.gov/gene/?term=8358"
"N4BP2","NEDD4 binding protein 2","N4BP2","55728,ENSG00000078177,N4BP2,Q86UW6","https://www.ncbi.nlm.nih.gov/gene/?term=55728"
"RALGDS","ral guanine nucleotide dissociation stimulator","RALGDS","5900,ENSG00000160271,Q12967,RALGDS","https://www.ncbi.nlm.nih.gov/gene/?term=5900"
"RBM10","RNA binding motif protein 10","RBM10","8241,ENSG00000182872,P98175,RBM10","https://www.ncbi.nlm.nih.gov/gene/?term=8241"
"STAT5B","signal transducer and activator of transcription 5B","STAT5B","6777,ENSG00000173757,P51692,STAT5B","https://www.ncbi.nlm.nih.gov/gene/?term=6777"
"WWTR1","WW domain containing transcription regulator 1","WWTR1","25937,ENSG00000018408,Q9GZV5,WWTR1","https://www.ncbi.nlm.nih.gov/gene/?term=25937"
"ZRSR2","zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2","ZRSR2","8233,ENSG00000169249,Q15696,U2AF1L2,ZRSR2","https://www.ncbi.nlm.nih.gov/gene/?term=8233"
"BCL11B","B-cell CLL/lymphoma 11B  (CTIP2)","BCL11B","64919,BCL11B,ENSG00000127152,Q9C0K0,ZNF856B","https://www.ncbi.nlm.nih.gov/gene/?term=64919"
"SETDB1","SET domain bifurcated 1","SETDB1","9869,ENSG00000143379,Q15047,SETDB1","https://www.ncbi.nlm.nih.gov/gene/?term=9869"
"BCL11A","B-cell CLL/lymphoma 11A","BCL11A","53335,BCL11A,ENSG00000119866,EVI9,Q9H165","https://www.ncbi.nlm.nih.gov/gene/?term=53335"
"SS18L1","synovial sarcoma translocation gene on chromosome 18-like 1","SS18L1","26039,ENSG00000184402,O75177,SS18L1","https://www.ncbi.nlm.nih.gov/gene/?term=26039"
"MYO5A","myosin VA (heavy chain 12, myoxin)","MYO5A","4644,ENSG00000197535,MYH12,MYO5A,Q9Y4I1","https://www.ncbi.nlm.nih.gov/gene/?term=4644"
"PTK6","protein tyrosine kinase 6","PTK6","5753,ENSG00000101213,PTK6,Q13882","https://www.ncbi.nlm.nih.gov/gene/?term=5753"
"SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","SMARCA4","6597,ENSG00000127616,P51532,SMARCA4,SNF2L4","https://www.ncbi.nlm.nih.gov/gene/?term=6597"
"EXT1","multiple exostoses type 1 gene","EXT1","2131,ENSG00000182197,EXT1,LGCR,LGS,Q16394","https://www.ncbi.nlm.nih.gov/gene/?term=2131"
"EXT2","multiple exostoses type 2 gene","EXT2","2132,ENSG00000151348,EXT2,Q93063","https://www.ncbi.nlm.nih.gov/gene/?term=2132"
"STAG1","stromal antigen 1","STAG1","10274,ENSG00000118007,Q8WVM7,STAG1","https://www.ncbi.nlm.nih.gov/gene/?term=10274"
"STAG2","stromal antigen 2","STAG2","10735,ENSG00000101972,Q8N3U4,STAG2","https://www.ncbi.nlm.nih.gov/gene/?term=10735"
"CD209","CD209 molecule","CD209","30835,CD209,ENSG00000090659,Q9NNX6","https://www.ncbi.nlm.nih.gov/gene/?term=30835"
"FUBP1","far upstream element (FUSE) binding protein 1","FUBP1","8880,ENSG00000162613,FUBP,FUBP1,Q96AE4","https://www.ncbi.nlm.nih.gov/gene/?term=8880"
"WNK2","WNK lysine deficient protein kinase 2","WNK2","65268,ENSG00000165238,PRKWNK2,Q9Y3S1,WNK2","https://www.ncbi.nlm.nih.gov/gene/?term=65268"
"CD28","CD28 molecule","CD28","940,CD28,ENSG00000178562,P10747","https://www.ncbi.nlm.nih.gov/gene/?term=940"
"ID3","inhibitor of DNA binding 3, HLH protein","ID3","3399,ENSG00000117318,ID3,Q02535","https://www.ncbi.nlm.nih.gov/gene/?term=3399"
"ATM","ataxia telangiectasia mutated","ATM","472,ATA,ATC,ATD,ATDC,ATM,ENSG00000149311,Q13315","https://www.ncbi.nlm.nih.gov/gene/?term=472"
"HIST1H4I","histone 1, H4i (H4FM)","HIST1H4I","","https://www.ncbi.nlm.nih.gov/gene/?term=8294"
"CALR","calreticulin","CALR","811,CALR,ENSG00000179218,P27797","https://www.ncbi.nlm.nih.gov/gene/?term=811"
"BAP1","BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)","BAP1","8314,BAP1,ENSG00000163930,Q92560","https://www.ncbi.nlm.nih.gov/gene/?term=8314"
"APOBEC3B","apolipoprotein B mRNA editing enzyme catalytic subunit 3B","APOBEC3B","9582,APOBEC3B,ENSG00000179750,Q9UH17","https://www.ncbi.nlm.nih.gov/gene/?term=9582"
"ATR","ATR serine/threonine kinase","ATR","","https://www.ncbi.nlm.nih.gov/gene/?term=545"
"PTPRT","protein tyrosine phosphatase, receptor type T","PTPRT","11122,ENSG00000196090,O14522,PTPRT","https://www.ncbi.nlm.nih.gov/gene/?term=11122"
"ROBO2","roundabout guidance receptor 2","ROBO2","6092,ENSG00000185008,Q9HCK4,ROBO2","https://www.ncbi.nlm.nih.gov/gene/?term=6092"
"FEN1","flap structure-specific endonuclease 1","FEN1","2237,ENSG00000168496,FEN1,P39748,RAD2","https://www.ncbi.nlm.nih.gov/gene/?term=2237"
"HIP1","huntingtin interacting protein 1","HIP1","3092,ENSG00000127946,HIP1,O00291","https://www.ncbi.nlm.nih.gov/gene/?term=3092"
"BRCA1","familial breast/ovarian cancer gene 1","BRCA1","672,BRCA1,ENSG00000012048,P38398","https://www.ncbi.nlm.nih.gov/gene/?term=672"
"PTPRK","protein tyrosine phosphatase, receptor type, K","PTPRK","5796,ENSG00000152894,PTPRK,Q15262","https://www.ncbi.nlm.nih.gov/gene/?term=5796"
"BRCA2","familial breast/ovarian cancer gene 2","BRCA2","675,BRCA2,ENSG00000139618,FACD,FANCD,FANCD1,P51587","https://www.ncbi.nlm.nih.gov/gene/?term=675"
"HERPUD1","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1","HERPUD1","9709,ENSG00000051108,HERPUD1,Q15011","https://www.ncbi.nlm.nih.gov/gene/?term=9709"
"PCM1","pericentriolar material 1  (PTC4)","PCM1","5108,ENSG00000078674,PCM1,Q15154","https://www.ncbi.nlm.nih.gov/gene/?term=5108"
"XPO1","exportin 1 (CRM1 homolog, yeast)","XPO1","7514,ENSG00000082898,O14980,XPO1","https://www.ncbi.nlm.nih.gov/gene/?term=7514"
"ZMYM3","zinc finger MYM-type containing 3","ZMYM3","9203,ENSG00000147130,Q14202,ZMYM3,ZNF261","https://www.ncbi.nlm.nih.gov/gene/?term=9203"
"SUFU","suppressor of fused homolog (Drosophila)","SUFU","51684,ENSG00000107882,Q9UMX1,SUFU","https://www.ncbi.nlm.nih.gov/gene/?term=51684"
"CNTRL","centriolin","CNTRL","11064,CEP1,CEP110,CNTRL,ENSG00000119397,Q7Z7A1","https://www.ncbi.nlm.nih.gov/gene/?term=11064"
"CCR7","C-C motif chemokine receptor 7","CCR7","1236,CCR7,CMKBR7,EBI1,ENSG00000126353,P32248","https://www.ncbi.nlm.nih.gov/gene/?term=1236"
"RAC1","ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)","RAC1","5879,ENSG00000136238,P63000,RAC1","https://www.ncbi.nlm.nih.gov/gene/?term=5879"
"CCR4","C-C motif chemokine receptor 4","CCR4","1233,CCR4,ENSG00000183813,P51679","https://www.ncbi.nlm.nih.gov/gene/?term=1233"
"HRAS","v-Ha-ras Harvey rat sarcoma viral oncogene homolog","HRAS","3265,ENSG00000174775,HRAS,HRAS1,P01112","https://www.ncbi.nlm.nih.gov/gene/?term=3265"
"NCOA1","nuclear receptor coactivator 1","NCOA1","8648,ENSG00000084676,NCOA1,Q15788","https://www.ncbi.nlm.nih.gov/gene/?term=8648"
"NCOA2","nuclear receptor coactivator 2 (TIF2)","NCOA2","10499,ENSG00000140396,NCOA2,Q15596","https://www.ncbi.nlm.nih.gov/gene/?term=10499"
"PBRM1","polybromo 1","PBRM1","55193,ENSG00000163939,PBRM1,Q86U86","https://www.ncbi.nlm.nih.gov/gene/?term=55193"
"SYK","spleen tyrosine kinase","SYK","6850,ENSG00000165025,P43405,SYK","https://www.ncbi.nlm.nih.gov/gene/?term=6850"
"NCOA4","nuclear receptor coactivator 4 - PTC3 (ELE1)","NCOA4","","https://www.ncbi.nlm.nih.gov/gene/?term=8031"
"TFE3","transcription factor binding to IGHM enhancer 3","TFE3","7030,ENSG00000068323,P19532,TFE3","https://www.ncbi.nlm.nih.gov/gene/?term=7030"
"TFEB","transcription factor EB","TFEB","7942,ENSG00000112561,P19484,TFEB","https://www.ncbi.nlm.nih.gov/gene/?term=7942"
"PRPF40B","pre-mRNA processing factor 40 homolog B","PRPF40B","25766,ENSG00000110844,PRPF40B,Q6NWY9","https://www.ncbi.nlm.nih.gov/gene/?term=25766"
"RHOH","ras homolog family member H","RHOH","399,ARHH,ENSG00000168421,Q15669,RHOH","https://www.ncbi.nlm.nih.gov/gene/?term=399"
"PDCD1LG2","programmed cell death 1 ligand 2","PDCD1LG2","80380,ENSG00000197646,PDCD1LG2,Q9BQ51","https://www.ncbi.nlm.nih.gov/gene/?term=80380"
"CBFA2T3","core-binding factor, runt domain, alpha subunit 2","CBFA2T3","",""
"MLF1","myeloid leukemia factor 1","MLF1","4291,ENSG00000178053,MLF1,P58340","https://www.ncbi.nlm.nih.gov/gene/?term=4291"
"RHOA","ras homolog family member A","RHOA","387,ARH12,ARHA,ENSG00000067560,P61586,RHOA","https://www.ncbi.nlm.nih.gov/gene/?term=387"
"VAV1","vav guanine nucleotide exchange factor 1","VAV1","7409,ENSG00000141968,VAV,VAV1","https://www.ncbi.nlm.nih.gov/gene/?term=7409"
"RAD51B","RAD51 paralog B","RAD51B","5890,ENSG00000182185,O15315,RAD51B,RAD51L1","https://www.ncbi.nlm.nih.gov/gene/?term=5890"
"MN1","MN1 proto-oncogene, transcriptional regulator","MN1","4330,ENSG00000169184,MGCR,MN1,Q10571","https://www.ncbi.nlm.nih.gov/gene/?term=4330"
"KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","KIT","3815,ENSG00000157404,KIT,P10721,PBT","https://www.ncbi.nlm.nih.gov/gene/?term=3815"
"PABPC1","poly(A) binding protein cytoplasmic 1","PABPC1","26986,ENSG00000070756,P11940,PAB1,PABPC1,PABPC2","https://www.ncbi.nlm.nih.gov/gene/?term=26986"
"SGK1","serum/glucocorticoid regulated kinase 1","SGK1","6446,ENSG00000118515,O00141,SGK,SGK1","https://www.ncbi.nlm.nih.gov/gene/?term=6446"
"DDR2","discoidin domain receptor 2","DDR2","4921,DDR2,ENSG00000162733,NTRKR3,Q16832,TYRO10","https://www.ncbi.nlm.nih.gov/gene/?term=4921"
"AMER1","APC membrane recruitment protein 1","AMER1","139285,AMER1,ENSG00000184675,FAM123B,Q5JTC6","https://www.ncbi.nlm.nih.gov/gene/?term=139285"
"FAM47C","family with sequence similarity 47 member C","FAM47C","442444,ENSG00000198173,FAM47C,Q5HY64","https://www.ncbi.nlm.nih.gov/gene/?term=442444"
"WAS","Wiskott-Aldrich syndrome","WAS","7454,ENSG00000015285,IMD2,P42768,THC,WAS","https://www.ncbi.nlm.nih.gov/gene/?term=7454"
"CXCR4","C-X-C motif chemokine receptor 4","CXCR4","7852,CXCR4,ENSG00000121966,P61073","https://www.ncbi.nlm.nih.gov/gene/?term=7852"
"TMPRSS2","transmembrane protease, serine 2","TMPRSS2","7113,ENSG00000184012,O15393,TMPRSS2","https://www.ncbi.nlm.nih.gov/gene/?term=7113"
"RGPD3","RANBP2-like and GRIP domain containing 3","RGPD3","653489,A6NKT7,ENSG00000153165,RGPD3","https://www.ncbi.nlm.nih.gov/gene/?term=653489"
"CUX1","cut-like homeobox 1","CUX1","1523,CUTL1,CUX1,ENSG00000257923,P39880","https://www.ncbi.nlm.nih.gov/gene/?term=1523"
"WIF1","WNT inhibitory factor 1","WIF1","11197,ENSG00000156076,Q9Y5W5,WIF1","https://www.ncbi.nlm.nih.gov/gene/?term=11197"
"LMNA","lamin A/C","LMNA","4000,CMD1A,ENSG00000160789,LGMD1B,LMN1,LMNA,LMNL1,P02545,PRO1","https://www.ncbi.nlm.nih.gov/gene/?term=4000"
"GPC3","glypican 3","GPC3","2719,ENSG00000147257,GPC3,P51654,SDYS","https://www.ncbi.nlm.nih.gov/gene/?term=2719"
"GPC5","glypican 5","GPC5","2262,ENSG00000179399,GPC5,P78333","https://www.ncbi.nlm.nih.gov/gene/?term=2262"
"CTNNA2","catenin alpha 2","CTNNA2","","https://www.ncbi.nlm.nih.gov/gene/?term=1496"
"EPS15","epidermal growth factor receptor pathway substrate 15 (AF1p)","EPS15","2060,ENSG00000085832,EPS15,P42566","https://www.ncbi.nlm.nih.gov/gene/?term=2060"
"RANBP2","RAN binding protein 2","RANBP2","5903,ANE1,ENSG00000153201,P49792,RANBP2","https://www.ncbi.nlm.nih.gov/gene/?term=5903"
"SUZ12","suppressor of zeste 12 homolog (Drosophila)","SUZ12","23512,ENSG00000178691,Q15022,SUZ12","https://www.ncbi.nlm.nih.gov/gene/?term=23512"
"CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","CD74","972,CD74,DHLAG,ENSG00000019582,P04233","https://www.ncbi.nlm.nih.gov/gene/?term=972"
