"id","genome","chrband","tumorGermline","tumorSomatic","syndrome","tissueType"
"DCC","18:52340788-53530653","18q21.2","CRC, melanoma, SCC","","","E"
"EED","11:86245230-86278525","11q14.2","malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma","","","E,L"
"USP44","12:95518154-95534256","12q21.33","lung cancer, colon cancer","","","E"
"MKL1","22:40411390-40463227","22q13","acute megakaryocytic leukaemia","","","L"
"AXIN1","16:288122-347025","16p13.3","colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma","","","E,O"
"ETV1","7:13895866-13989052","7p22","Ewing sarcoma, prostate","","","M,E"
"AXIN2","17:65529976-65558620","17q24.1","colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma","colorectal carcinoma","oligodontia-colorectal cancer syndrome","E"
"OLIG2","21:33026863-33027834","21q22.11","T-ALL","","","L"
"ARID1A","1:26696404-26780756","1p35.3","clear cell ovarian carcinoma, RCC, breast","","","E"
"ARID1B","6:156778104-157207891","6q25.1","breast, hepatocellular carcinoma, clear cell ovarian carcinoma","","","E"
"ETV4","17:43528519-43545617","17q21","Ewing sarcoma, prostate carcinoma","","","M,E"
"ETV5","3:186048639-186105868","3q28","prostate","","","E"
"DNM2","19:10718243-10831047","19p13.2","T-ALL","","","L"
"ETV6","12:11650128-11891046","12p13","congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS","","","L,E,M"
"TGFBR2","3:30606884-30691599","3p22","head and neck, colorectal","colorectal","Hereditary Nonpolyposis Colorectal Cancer type 6","E"
"LATS1","-0.25","6q25.1","skin basal cell carcinoma","","","E"
"SFPQ","1:35184456-35193049","1p34.3","papillary renal","","","E"
"CREB1","2:207555637-207597059","2q34","clear cell sarcoma, angiomatoid fibrous histiocytoma","","","M"
"LATS2","13:20974870-21046026","13q12.11","malignant mesothelioma","","","E"
"RABEP1","17:5282488-5383224","17p13.2","CMML","","","L"
"ELF3","1:202011137-202015323","1q32.1","pancreatic cancer","","","E"
"SETBP1","18:44701347-45063698","18q21.1","aCML, sAML, MDS/MPN-U, CMML, JMML","neuroepithelial tumours","Schinzel-Giedion syndrome","L"
"ELF4","X:130066721-130081330","Xq26","AML","","","L"
"IRF4","6:393154-407599","6p25-p23","MM","","","L"
"THRAP3","1:36282564-36304017","1p34.3","aneurysmal bone cyst","","","M"
"CDH10","5:24487663-24593490","5p14.2-p14.1","melanoma","pancreatic ductal adenocarcinoma","","E"
"MYOD1","11:17719783-17721508","11p15.4","embryonal rhabdomyosarcoma","","","M"
"CDH11","16:64947603-65004869","16q22.1","aneurysmal bone cyst","","","M"
"MYH9","22:36282668-36349236","22q13.1","ALCL","","","L"
"ECT2L","6:138813275-138902627","6q24.1","ETP ALL","","","L"
"CDH17","8:94128240-94194685","8q22.1","melanoma","","","E"
"ZNF198","13:19993073-20086014","13q11-q12","MPN, NHL","","","L"
"HLF","17:55265486-55320880","17q22","ALL","","","L"
"DCTN1","2:74361499-74380037","2p13","inflammatory myofibroblastic tumour, Spitzoid tumour","","","M"
"LEF1","4:108063629-108167767","4q25","B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas","","","L,E"
"RAP1GDS1","4:98261566-98442117","4q21-q25","T-ALL","","","L"
"ATP1A1","1:116373512-116404444","1p21","adrenal aldosterone producing adenoma","","","E"
"CBL","11:119206418-119299781","11q23.3","AML, JMML, MDS","","","L"
"NT5C2","10:103089672-103174958","10q24.32","relapse ALL","","","L"
"TFPT","19:54107050-54115269","19q13","pre-B ALL","","","L"
"MUC1","1:155186135-155192843","1q21","B-NHL","","","L"
"ERBB3","12:56080301-56102055","12q13","colon, gastric, head and neck, bladder, skin","","","E"
"ERBB4","2:211383615-212538530","2q33.3-q34","melanoma, gastric, NSCLC","","","E"
"GNA11","19:3094652-3121179","19p13.3","uveal melanoma, primary central nervous system melanocytic neoplasms","","","E,O"
"LEPROTL1","8:30095513-30105862","8p12","lung cancer, colon cancer","","","E"
"POLD1","19:50398852-50417947","19q13.3","CRC","CRC","Lynch syndrome","E"
"ERBB2","17:39700239-39728044","17q21.1","breast, ovarian, other tumour types, NSCLC, gastric","","","E"
"DROSHA","5:31401432-31529059","5q11.2","Wilms tumour, NSCLC, bladder carcinoma","","","E,O"
"MAPK1","22:21769204-21867440","22q11.2","CLL, ovarian mixed germ cell tumour, cervical carcinoma","","","E,L"
"LRIG3","12:58872572-58920235","12q14.1","NSCLC","","","E"
"VHL","3:10141848-10149965","3p25","renal, haemangioma, pheochromocytoma","renal, haemangioma, pheochromocytoma","Von Hippel-Lindau syndrome","E,M,O"
"MUC4","3:195747176-195811817","3q29","HNSCC","","","E"
"MUTYH","1:45329306-45340254","1p34.3-1p32.1","","colorectal","adenomatous polyposis coli","E"
"SPEN","1:15848068-15939427","1p36","SMZL, adenoid cystic carcinoma, DLBCL","","","L"
"POLQ","3:121432304-121546641","3q13.33","oral SCC","breast cancer","","E"
"TCF7L2","10:112950757-113165972","10q25.3","colorectal","","","E"
"TAF15","17:35809571-35846946","17q11.1-q11.2","extraskeletal myxoid chondrosarcoma, ALL","","","L,M"
"ATP2B3","X:153536248-153580003","Xq28","adrenal aldosterone producing adenoma","","","E"
"PDE4DIP","1:148889754-149031985","1q12","MPN","","","L"
"DEK","6:18225719-18263987","6p23","AML","","","L"
"ACVR2A","2:147845153-147927274","2q22.3-q23.1","large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus","","","E"
"TSHR","14:80955681-81144353","14q31","toxic thyroid adenoma","thyroid adenoma","","E"
"TEC","4:48137416-48228614","4p12-p11","myxoid chondrosarcoma","","","M"
"ERCC3","2:127257596-127294081","2q21","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (B)","E"
"ERCC4","16:13920166-13948347","16p13.3-p13.13","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (F)","E"
"FAM131B","7:143356550-143360093","7q34","pilocytic astrocytoma","","","O"
"ERCC2","19:45351629-45370237","19q13.2-q13.3","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (D)","E"
"ACKR3","2:236580466-236581554","2q37.3","lipoma","","","M"
"BAX","19:48954929-48961097","19q13.33","colorectal cancer","","","E"
"ERCC5","13:102846267-102875903","13q33","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (G)","E"
"KRAS","12:25209795-25245384","12p12.1","pancreatic, colorectal, lung, thyroid, AML, other tumour types","","","L,E,M,O"
